,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
152,68306d27ad6cb978a8606dafd39d8c20,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Other Proteobacteria
153,69f3be1ce26140f5820552e2a9d49289,both,shared,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus,Flectobacillusroseus,Other Bacteroidota
154,6a9e6cd156ec3e7ca51f4912bfe49614,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,Family_Burkholderiaceae_A_592522,Family_Burkholderiaceae
155,6ba560a76661744bc65eed04953c1314,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Genus_Aeromonas,Other Proteobacteria
156,6c84542f6460f7b4cd5bf61da89bf26a,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,Leucobacter
157,6c891abaa8f2147383dd332e601800eb,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcusluteus,Micrococcus
158,6e14f4034e782617c3ae143ef74c3de4,lost,lost,Bacteria,Firmicutes,Negativicutes,Propionisporales,Propionisporaceae,Pelosinus,Pelosinusdefluvii,Other Firmicutes
159,73b7563f30dc3ad68a861e25ce589c0a,late water,shared,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Genus_Mycobacterium,Mycobacterium
160,74b5e290724d621524a132c83d4164f3,late water,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,Genus_Asaia,Other Proteobacteria
161,74fd73c11b1b41a953d621e26ab290a8,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,Rhodovariuslipocyclicus,Other Proteobacteria
162,77c55b0f6c379835576843cf02171325,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Genus_Sphingomonas_L_486704,Other Proteobacteria
163,77d6a7db6de3bb1f15a02fdb36f90627,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Genus_Bradyrhizobium,Other Proteobacteria
164,7808d9998d7c3f332e84b59eb2b9a074,late water,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Family_Pseudomonadaceae,Family_Pseudomonadaceae,Other Proteobacteria
165,78e82208465dc5122d2b998caca016b6,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacteriummuris,Other Actinobacteriota
166,7917ea4a8baaaaad51430b1d6e563817,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Other Proteobacteria
167,7a3d3263f85a0821e953a8154ec4e91d,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Genus_Acinetobacter,Other Proteobacteria
168,7ae748a8220ad5940affe29cbeefca57,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Genus_Aeromonas,Other Proteobacteria
